01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9989
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9361
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9990
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9362
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9991
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9363
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9992
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9364
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9993
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9365
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9994
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9366
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9995
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9367
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9996
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9368
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9997
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9369
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9998
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9370
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9999
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9371
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9858
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9372
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9859
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9373
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9860
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9374
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9861
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9375
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9862
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9376
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9863
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9377
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9864
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9378
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9865
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9379
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9866
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9380
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9867
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9381
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9868
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9382
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9869
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9383
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9870
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9384
01:15:06.781 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9871
01:15:06.781 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9385
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9872
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9386
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9873
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9387
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9874
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9388
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9875
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9389
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9876
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9390
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9877
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9391
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9878
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9392
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9879
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9393
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9880
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9394
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9881
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9395
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9882
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9396
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9883
01:15:06.782 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9397
01:15:06.782 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9884
