01:15:06.665 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8732
01:15:06.667 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8733
01:15:06.667 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8734
01:15:06.667 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8735
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8736
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8737
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8738
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8739
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8740
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8741
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8742
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8743
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8744
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8745
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8746
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8747
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8748
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8749
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8750
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8751
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8752
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8753
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8754
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8755
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8756
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8757
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8758
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8759
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8760
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8761
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8762
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8763
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8764
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8765
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8766
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8767
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8768
01:15:06.668 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8769
01:15:06.669 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8770
01:15:06.665 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8646
01:15:06.665 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8274
01:15:06.669 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8771
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8647
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8648
01:15:06.669 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8772
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8649
01:15:06.669 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8275
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8650
01:15:06.669 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8773
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8651
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8652
01:15:06.669 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8276
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8653
01:15:06.669 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8774
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8654
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8655
01:15:06.669 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8277
01:15:06.669 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8775
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8656
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8657
01:15:06.669 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8776
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8658
01:15:06.669 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8278
01:15:06.669 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#8659
