01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9067
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8495
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9068
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8496
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9069
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8497
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9070
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8498
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9071
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8499
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9072
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8500
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9073
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8501
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9074
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8502
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9075
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8503
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9076
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8504
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9077
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8505
01:15:06.691 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9078
01:15:06.691 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8506
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9079
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8507
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9080
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8508
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9081
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8509
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9082
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8510
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9083
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8511
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9084
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8512
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9085
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8513
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9086
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8514
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9087
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8515
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9088
01:15:06.692 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8516
01:15:06.692 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9089
