01:15:06.752 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9126
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9610
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9699
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9611
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9700
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9612
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9701
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9613
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9702
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9614
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9703
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9615
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9704
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9616
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9705
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9617
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9706
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9618
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9707
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9619
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9708
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9620
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9709
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9621
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9710
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9622
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9711
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9623
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9712
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9624
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9713
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9625
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9714
01:15:06.754 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9626
01:15:06.754 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9715
01:15:06.755 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9627
01:15:06.755 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9716
01:15:06.755 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9628
01:15:06.755 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9717
01:15:06.755 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9629
01:15:06.755 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9718
01:15:06.755 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9630
01:15:06.755 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9719
01:15:06.755 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9631
01:15:06.755 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9720
01:15:06.755 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9632
01:15:06.755 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9721
01:15:06.755 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9633
01:15:06.755 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9722
01:15:06.755 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9634
01:15:06.755 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9723
