01:15:06.732 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9515
01:15:06.732 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9285
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9286
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9287
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9288
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9289
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9290
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9291
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9292
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9293
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9294
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9295
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9296
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9297
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9298
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9299
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9300
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9301
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9302
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9303
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9304
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9305
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9306
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9307
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9308
01:15:06.733 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9309
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9310
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9311
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9312
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9313
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9314
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9315
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9316
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9317
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9318
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9319
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9320
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9321
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9322
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9323
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9324
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9325
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9326
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9327
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9328
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9329
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9330
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9331
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9332
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9333
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9334
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9335
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9336
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9337
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9338
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9339
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9340
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9341
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9342
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9343
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9344
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9345
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9346
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9347
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9348
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9349
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9350
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9351
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9352
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9353
01:15:06.732 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8942
01:15:06.733 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9516
01:15:06.734 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9354
01:15:06.734 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9517
01:15:06.734 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8943
01:15:06.735 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9355
01:15:06.735 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8944
01:15:06.735 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9518
